valid_AphiaID,valid_name,AphiaID,quality_grade,observed_on,identifications_most_agree,num_identification_agreements,lat,lon,taxa_rank,taxa_name
219926,Arothron meleagris,219926,research,2024-05-25,False,0,10.942263,-85.7128096,phylum,Chordata
203822,Stegastes,203822,needs_id,2024-05-25,False,0,10.942263,-85.7128096,phylum,Chordata
138268,Octopus,138268,needs_id,2024-05-25,False,0,10.942263,-85.7128096,phylum,Mollusca
11718,Octopoda,11718,needs_id,2024-05-25,False,0,10.942263,-85.7128096,phylum,Mollusca
281202,Johnrandallia nigrirostris,281202,research,2024-05-25,True,1,10.942263,-85.7128096,phylum,Chordata
123083,Holothuroidea,123083,needs_id,2024-05-25,False,0,10.942263,-85.7128096,phylum,Echinodermata
596162,Hexaplex princeps,596162,needs_id,2024-05-25,False,0,10.942263,-85.7128096,phylum,Mollusca
596162,Hexaplex princeps,596162,research,2024-05-25,False,0,10.942263,-85.7128096,phylum,Mollusca
275780,Halichoeres nicholsi,275780,research,2024-05-25,False,0,10.942263,-85.7128096,phylum,Chordata
275780,Halichoeres nicholsi,275780,research,2024-05-25,False,0,10.942263,-85.7128096,phylum,Chordata
275729,Haemulon maculicauda,275729,needs_id,2024-05-25,False,0,10.942263,-85.7128096,phylum,Chordata
275763,Halichoeres dispilus,275763,research,2024-05-25,False,0,10.942263,-85.7128096,phylum,Chordata
275763,Halichoeres dispilus,275763,research,2024-05-25,False,0,10.942263,-85.7128096,phylum,Chordata
219926,Arothron meleagris,219926,research,2024-05-25,False,0,10.942263,-85.7128096,phylum,Chordata
219926,Arothron meleagris,219926,research,2024-05-25,False,0,10.942263,-85.7128096,phylum,Chordata
1006825,Urobatis pardalis,1006825,research,2024-03-02,True,1,10.942263,-85.7128096,phylum,Chordata
281202,Johnrandallia nigrirostris,281202,research,2024-03-02,False,0,10.942263,-85.7128096,phylum,Chordata
275736,Haemulon sexfasciatum,275736,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
275736,Haemulon sexfasciatum,275736,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
214557,Triaenodon obesus,214557,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
276853,Sufflamen verres,276853,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
275736,Haemulon sexfasciatum,275736,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
276668,Stegastes flavilatus,276668,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
273858,Epinephelus labriformis,273858,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
220083,Zanclus cornutus,220083,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
219127,Scarus ghobban,219127,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
220083,Zanclus cornutus,220083,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
279161,Pseudobalistes naufragium,279161,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
137206,Chelonia mydas,137206,research,2024-09-07,True,1,8.7971672682,-83.8527784564,phylum,Chordata
137207,Eretmochelys imbricata,137207,needs_id,2024-09-07,False,0,8.7873358677,-83.8849494309,phylum,Chordata
137206,Chelonia mydas,137206,research,2024-09-07,True,2,8.7140343124,-83.8628258593,phylum,Chordata
219634,Acanthurus xanthopterus,219634,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
276552,Lutjanus viridis,276552,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
1750630,Cephalopholis colonus,1750630,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
273343,Chaetodon humeralis,273343,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
218419,Caranx melampygus,218419,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
1750630,Cephalopholis colonus,1750630,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
273271,Caranx caballus,273271,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
219638,Acanthurus nigricans,219638,research,2024-09-07,True,2,8.707268,-83.8817571,phylum,Chordata
217495,Gymnothorax flavimarginatus,217495,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
276016,Holacanthus passer,276016,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
275729,Haemulon maculicauda,275729,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
219926,Arothron meleagris,219926,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
274726,Scorpaena mystes,274726,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
267665,Pacifigorgia,267665,needs_id,2024-09-07,False,0,8.707268,-83.8817571,phylum,Cnidaria
291251,Tubastraea coccinea,291251,needs_id,2024-09-07,False,0,8.707268,-83.8817571,phylum,Cnidaria
137206,Chelonia mydas,137206,research,2024-09-07,True,2,8.7967569907,-83.9283276902,phylum,Chordata
267665,Pacifigorgia,267665,needs_id,2024-09-07,False,0,8.707268,-83.8817571,phylum,Cnidaria
217495,Gymnothorax flavimarginatus,217495,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
137207,Eretmochelys imbricata,137207,research,2024-09-07,False,0,8.66389313,-83.9662430933,phylum,Chordata
218429,Gnathanodon speciosus,218429,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
214557,Triaenodon obesus,214557,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
279152,Cephalopholis panamensis,279152,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
217927,Myripristis berndti,217927,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
286209,Leptogorgia alba,286209,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Cnidaria
289201,Pavona gigantea,289201,needs_id,2024-09-07,False,0,8.707268,-83.8817571,phylum,Cnidaria
281202,Johnrandallia nigrirostris,281202,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
218853,Cirrhitichthys oxycephalus,218853,research,2024-09-07,True,1,8.707268,-83.8817571,phylum,Chordata
206938,Pocillopora,206938,needs_id,2024-09-07,False,0,8.707268,-83.8817571,phylum,Cnidaria
218378,Malacanthus brevirostris,218378,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
138518,Spondylus,138518,needs_id,2024-09-07,True,1,8.707268,-83.8817571,phylum,Mollusca
219124,Scarus rubroviolaceus,219124,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
219124,Scarus rubroviolaceus,219124,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
164811,Demospongiae,164811,needs_id,2024-09-07,True,2,8.707268,-83.8817571,phylum,Porifera
286209,Leptogorgia alba,286209,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Cnidaria
218419,Caranx melampygus,218419,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
138268,Octopus,138268,needs_id,2024-09-07,True,1,8.707268,-83.8817571,phylum,Mollusca
275736,Haemulon sexfasciatum,275736,research,2024-09-07,False,0,8.707268,-83.8817571,phylum,Chordata
